channel_id,ec_timestamp,tx_estimated_bw_kbps,rx_estimated_bw_kbps,wan_circuit_tx_cir_kbps,wan_circuit_rx_cir_kbps,tx_kbps,rx_kbps
STL_1,2024-03-08 22:30:00.000 +0530,411,6248,96,12496,232.5718396,265.9004816
STL_1,2024-03-08 22:29:00.000 +0530,370.92,6248,96,12496,233.0796805,283.64
STL_1,2024-03-08 22:28:00.000 +0530,417,6248,96,12496,230.827112,908.8111115
STL_1,2024-03-08 22:27:00.000 +0530,388.2208333,6248,96,12496,232.9377332,1185.27867
STL_1,2024-03-08 22:26:00.000 +0530,414.3809524,6248,96,12496,232.6316194,1020.482288
STL_1,2024-03-08 22:25:00.000 +0530,396.8348214,6248,96,12496,233.0474289,932.0927146
STL_1,2024-03-08 22:24:00.000 +0530,423,6248,96,12496,230.8699999,616.6030025
STL_1,2024-03-08 22:23:00.000 +0530,405.5689655,6248,96,12496,232.2713092,1119.195037
STL_1,2024-03-08 22:22:00.000 +0530,413.78,6248,96,12496,231.7907196,905.8886401
STL_1,2024-03-08 22:21:00.000 +0530,413.8958333,6248,96,12496,232.8582672,1063.836006
STL_1,2024-03-08 22:20:00.000 +0530,405.2941176,6248,96,12496,230.5821165,1035.764699
STL_1,2024-03-08 22:19:00.000 +0530,408.9739583,6248,96,12496,231.9656668,551.7624982
STL_1,2024-03-08 22:18:00.000 +0530,416.8676471,6248,96,12496,231.9049413,642.6230576
STL_1,2024-03-08 22:17:00.000 +0530,398.7136364,6248,96,12496,233.0152729,293.0613814
STL_1,2024-03-08 22:16:00.000 +0530,398.2685185,6248,96,12496,232.2962974,441.809481
STL_10,2024-03-08 22:54:00.000 +0530,414.5789474,6248,96,12496,233.1503159,313.8404204
STL_10,2024-03-08 22:53:00.000 +0530,380.2991071,6248,96,12496,233.0420009,351.5681436
STL_10,2024-03-08 22:52:00.000 +0530,425,6248,96,12496,231.9086647,291.6446686
STL_10,2024-03-08 22:51:00.000 +0530,381.7239583,6248,96,12496,232.7373343,306.9345004
STL_10,2024-03-08 22:50:00.000 +0530,416,6248,96,12496,231.0576004,257.2408005
STL_10,2024-03-08 22:49:00.000 +0530,379.171875,6248,96,12496,233.1208331,291.8423347
STL_10,2024-03-08 22:48:00.000 +0530,420,6248,96,12496,230.7939032,252.795049
STL_10,2024-03-08 22:47:00.000 +0530,387.8989362,6248,96,12496,231.9535315,308.9050215
STL_10,2024-03-08 22:46:00.000 +0530,409.25,6248,96,12496,231.8080004,946.57999
STL_10,2024-03-08 22:45:00.000 +0530,380.1981132,6248,96,12496,233.0498104,462.5135083
STL_10,2024-03-08 22:44:00.000 +0530,416,6248,96,12496,229.7039978,247.6951996
STL_10,2024-03-08 22:43:00.000 +0530,414.5294118,6248,96,12496,232.7054117,280.5546648
STL_10,2024-03-08 22:42:00.000 +0530,413.5,6248,96,12496,230.4527985,841.3200165
STL_10,2024-03-08 22:41:00.000 +0530,422.7647059,6248.887255,96,12496,231.8006281,1184.359531
STL_10,2024-03-08 22:40:00.000 +0530,417.7857143,6248,96,12496,230.3811428,529.2879987
STL_10,2024-03-08 22:39:00.000 +0530,416.7777778,6248,96,12496,232.3815114,308.2334242
STL_10,2024-03-08 22:38:00.000 +0530,400.5384615,6248,96,12496,230.4369237,1023.807997
STL_10,2024-03-08 22:37:00.000 +0530,416.25,6248,96,12496,233.3812372,783.5204324
STL_10,2024-03-08 22:36:00.000 +0530,426,6248,96,12496,231.1072011,260.6149323
STL_10,2024-03-08 22:35:00.000 +0530,406.4490741,6248,96,12496,232.6084448,267.0045935
STL_10,2024-03-08 22:34:00.000 +0530,404.9558824,6248,96,12496,231.2630597,273.5345872
STL_10,2024-03-08 22:33:00.000 +0530,411.425,6248,96,12496,233.511733,290.5339991
STL_10,2024-03-08 22:32:00.000 +0530,423,6248,96,12496,232.1777759,960.3902249
STL_10,2024-03-08 22:31:00.000 +0530,423,6359.4375,96,12496,232.6942668,1245.826532
STL_10,2024-03-08 22:30:00.000 +0530,383.4270833,6248,96,12496,232.7066669,1117.690346
STL_10,2024-03-08 22:29:00.000 +0530,406.826087,6248,96,12496,232.8309562,473.7431296
STL_10,2024-03-08 22:28:00.000 +0530,407.3888889,6248,96,12496,230.8697773,277.2413279
STL_10,2024-03-08 22:27:00.000 +0530,416,6248,96,12496,232.8405337,280.7758687
STL_10,2024-03-08 22:26:00.000 +0530,369.9,6248.0125,96,12496,231.4068001,1347.445192
STL_10,2024-03-08 22:25:00.000 +0530,422.3181818,6248,96,12496,232.6983268,943.5637817
STL_10,2024-03-08 22:24:00.000 +0530,343.09375,6248,96,12496,231.2305002,1308.419483
STL_10,2024-03-08 22:23:00.000 +0530,416.75,6248,96,12496,232.4325703,333.1898558
STL_10,2024-03-08 22:22:00.000 +0530,366.7285714,6248,96,12496,232.9942858,282.7181728
STL_10,2024-03-08 22:21:00.000 +0530,400.7708333,6248,96,12496,232.8821337,327.2244003
STL_10,2024-03-08 22:20:00.000 +0530,381.9473684,6248,96,12496,229.402106,283.3372626
STL_10,2024-03-08 22:19:00.000 +0530,396.9803922,6248,96,12496,232.3554508,271.8666666
STL_10,2024-03-08 22:18:00.000 +0530,418,6248,96,12496,231.9240002,289.1293301
STL_10,2024-03-08 22:17:00.000 +0530,387.2232143,3055.303571,96,12496,233.1402858,255.8775717
STL_10,2024-03-08 22:16:00.000 +0530,404.5882353,999,96,12496,232.2277635,234.8922361
STL_11,2024-03-08 22:54:00.000 +0530,419,2500,96,12496,231.7109344,271.2122701
STL_11,2024-03-08 22:53:00.000 +0530,414.3181818,1285.554545,96,12496,233.0925093,240.2352004
STL_11,2024-03-08 22:52:00.000 +0530,415,999,96,12496,232.1661541,234.1969217
STL_11,2024-03-08 22:51:00.000 +0530,413.75,999,96,12496,232.9387273,234.8181818
STL_11,2024-03-08 22:50:00.000 +0530,416,999,96,12496,229.7328003,231.5029338
